Scenario #1:
6 20
7 18
8 3
9 12
9 13
Scenario #14:
1 18
1 24
1 25
1 27
2 15
2 16
2 26
3 4
3 8
3 14
3 33
3 38
4 20
4 21
4 32
4 37
4 39
5 7
5 9
5 10
5 13
5 22
5 29
5 43
6 17
6 30
6 34
6 40
6 44
6 45
7 0
7 2
7 5
7 11
7 36
7 42
8 1
8 6
8 19
8 23
8 31
9 12
9 35
10 3
10 28
11 41
Scenario #15:
1 2
1 3
1 4
2 0
2 1
3 5
Scenario #16:
1 1
1 9
1 17
1 20
2 3
2 5
2 7
2 8
3 2
3 13
3 14
4 0
4 10
4 22
5 16
5 21
5 23
6 4
6 6
6 12
6 18
6 19
7 11
7 15
Scenario #17:
1 0
1 9
1 15
1 16
2 4
2 6
2 17
3 3
3 11
3 13
4 5
4 8
4 10
5 1
5 12
5 18
6 7
6 14
7 2
Scenario #18:
1 6
1 9
1 12
1 18
2 7
2 17
2 19
3 3
3 11
3 16
4 0
4 1
4 20
4 22
5 2
5 4
5 8
5 10
5 14
6 5
6 13
6 15
6 21
Scenario #19:
1 1
1 6
1 17
2 2
2 7
2 15
3 8
3 11
3 18
3 19
4 0
4 3
4 10
4 12
4 21
4 22
5 5
6 4
7 13
8 14
8 23
9 16
9 20
10 9
Scenario #20:
1 1
1 7
2 14
2 16
3 13
4 9
5 0
5 11
5 12
6 3
6 6
6 10
6 15
7 2
7 5
7 8
8 4
Scenario #21:
1 0
1 1
1 4
1 7
2 2
2 5
2 8
3 3
3 6
Scenario #22:
1 20
1 25
1 36
2 7
2 9
2 11
2 12
2 29
3 0
3 21
3 34
3 38
4 1
4 15
4 37
5 18
5 24
5 28
5 32
6 8
6 17
6 22
6 23
6 35
7 14
7 26
7 31
8 2
8 10
8 27
8 30
9 4
9 5
9 19
10 3
10 13
10 16
11 6
11 33
Scenario #23:
1 14
1 18
2 9
2 23
2 35
3 8
3 19
3 25
3 29
4 1
4 2
4 4
4 15
4 22
5 0
5 17
5 26
5 30
5 31
6 10
6 11
6 20
6 21
6 24
7 7
7 32
7 33
8 3
8 5
8 12
8 13
8 28
8 34
9 16
9 27
10 6
Scenario #24:
1 1
1 10
1 14
2 0
2 9
2 17
3 2
3 16
4 5
4 8
4 12
4 15
5 3
5 7
5 11
5 18
5 19
6 13
7 4
7 6
Scenario #25:
1 4
1 10
1 16
1 27
2 14
2 38
2 39
3 19
3 21
3 25
3 33
4 13
4 30
5 29
5 34
5 40
6 5
6 6
6 8
6 24
6 36
7 7
7 9
7 11
7 23
7 31
8 2
8 3
8 17
8 22
8 28
8 32
9 0
9 1
9 20
10 15
10 18
10 26
10 35
11 12
11 37
Scenario #26:
1 1
1 3
1 4
2 0
2 2
2 5
Scenario #27:
1 24
1 25
2 8
2 13
2 14
2 34
3 18
3 27
3 31
3 33
3 38
4 6
4 7
4 9
4 16
4 36
5 2
5 11
5 21
5 23
5 32
5 35
6 0
6 10
6 20
6 22
6 30
6 37
7 1
7 3
7 4
7 15
8 12
8 19
9 5
9 26
9 29
10 17
10 28
Scenario #28:
1 0
1 4
2 1
2 2
2 3
2 5
Scenario #29:
1 2
1 6
2 14
2 17
3 7
3 30
4 4
4 11
5 9
5 10
5 19
5 21
6 3
6 8
6 12
6 25
7 1
7 5
7 13
7 23
7 27
7 29
8 18
8 22
9 15
9 16
9 26
10 0
10 20
10 24
11 28
Scenario #30:
1 1
1 8
2 2
2 3
3 5
3 7
3 10
4 4
4 9
5 0
5 6
Scenario #31:
1 4
1 12
1 21
2 6
2 22
3 11
4 1
4 26
5 2
5 13
5 15
5 27
6 0
6 18
6 37
7 5
7 14
7 23
7 32
7 35
7 36
8 7
8 16
8 17
8 24
8 25
8 29
8 33
9 3
9 20
9 28
9 30
9 31
10 9
10 19
10 34
11 8
11 10
Scenario #32:
1 7
1 18
2 6
2 10
2 12
2 19
3 8
3 17
3 22
4 0
4 23
5 2
5 3
5 16
6 1
6 9
6 20
7 11
7 13
7 14
7 15
7 21
8 4
8 5
Scenario #33:
1 9
1 31
1 40
1 44
2 21
2 22
2 23
2 45
3 3
3 20
3 25
3 29
3 33
3 39
4 12
4 13
4 28
4 30
5 19
5 32
6 6
6 16
6 17
6 27
6 34
6 35
6 37
7 0
7 5
7 14
7 15
7 24
7 38
8 1
8 2
8 8
8 36
8 43
8 47
9 4
9 7
9 11
9 26
9 42
9 46
10 10
10 18
10 41
Scenario #34:
1 0
1 2
1 4
2 3
3 1
Scenario #35:
1 0
1 1
1 3
1 5
2 2
2 4
Scenario #36:
1 1
1 11
1 19
1 25
2 8
2 10
2 26
3 0
3 9
3 12
3 22
3 23
4 5
4 14
4 15
4 17
4 18
4 21
5 2
5 3
5 20
6 4
6 13
6 24
7 7
7 16
8 6
Scenario #37:
1 7
1 15
1 27
2 0
2 22
2 33
2 38
3 14
3 36
4 1
4 30
4 34
4 37
5 16
5 17
5 21
5 32
6 8
6 31
6 39
7 5
7 12
7 23
7 24
7 26
7 28
8 4
8 6
8 11
8 13
8 19
8 29
8 40
8 42
9 2
9 9
9 10
9 20
9 25
9 35
10 18
10 41
11 3
Scenario #38:
1 19
1 33
1 38
2 30
2 34
3 2
3 12
3 20
3 24
4 3
4 8
4 15
4 28
4 36
4 37
5 9
5 23
6 0
6 5
6 10
6 11
6 26
7 1
7 14
7 22
7 27
8 21
8 39
9 6
9 16
9 17
10 4
10 13
10 18
10 40
11 7
11 29
11 32
11 35
12 25
12 31
Scenario #39:
1 2
1 18
1 21
1 25
2 11
2 22
3 30
3 35
4 1
4 5
4 26
4 27
5 3
5 8
5 9
5 13
5 19
5 32
6 0
6 6
6 12
6 14
7 7
7 10
7 15
7 16
7 23
7 24
8 4
8 28
8 29
8 31
8 33
8 34
9 17
9 20
9 36
Scenario #40:
1 16
1 37
1 47
2 5
2 15
2 39
3 6
3 28
4 4
4 17
4 24
4 45
5 1
5 10
5 27
5 29
5 31
6 7
6 8
6 13
6 25
6 36
6 40
7 0
7 30
7 44
7 48
8 11
8 19
8 32
8 34
8 43
8 46
9 9
9 14
9 18
9 23
9 26
9 38
9 41
10 2
10 3
10 12
10 35
10 42
10 49
11 21
11 22
11 33
12 20
Scenario #41:
1 1
1 2
1 9
1 11
2 10
2 12
3 0
3 3
3 4
3 5
3 7
3 8
4 6
Scenario #42:
1 0
1 25
1 30
1 41
2 9
2 21
2 34
2 44
3 22
3 31
3 40
4 19
4 29
5 10
5 14
5 28
5 33
6 1
6 2
6 4
6 26
7 3
7 11
7 16
7 23
7 37
8 8
8 12
8 15
9 6
9 17
9 18
9 32
9 42
9 46
10 7
10 13
10 35
10 36
10 47
11 5
11 24
11 39
11 43
11 45
12 20
12 27
12 38
Scenario #43:
1 16
1 31
2 9
2 36
3 18
3 41
4 23
4 25
4 37
4 38
5 1
5 5
5 12
5 22
5 26
5 39
6 2
6 17
6 29
6 40
7 3
7 28
7 33
7 43
8 4
8 10
8 15
8 34
8 35
9 7
9 13
9 21
9 30
9 32
10 8
10 14
10 24
11 0
11 6
11 19
11 20
11 42
12 44
12 45
13 11
13 27
Scenario #44:
1 0
1 5
2 1
2 2
2 10
3 3
3 4
3 6
3 7
3 11
3 12
4 8
4 13
5 9
Scenario #45:
1 4
1 5
1 13
1 22
2 0
2 11
2 16
2 19
2 25
3 7
3 8
3 21
4 6
4 23
4 24
5 9
5 14
5 20
6 10
6 12
6 18
7 2
7 26
8 1
8 3
9 15
9 17
Scenario #46:
1 2
1 5
1 8
1 15
2 6
2 12
2 13
2 14
2 16
3 0
3 4
3 11
4 3
4 10
5 1
5 9
6 7
Scenario #47:
1 6
1 14
1 19
1 44
2 15
2 24
2 34
2 39
2 47
3 3
3 18
3 33
3 38
3 46
4 4
4 5
4 17
4 31
4 32
4 36
5 0
5 7
5 8
5 10
5 11
5 12
5 26
5 28
5 42
5 49
6 9
6 13
6 23
6 25
6 29
6 40
6 48
7 1
7 20
7 30
7 41
8 21
8 27
8 43
8 45
9 22
9 35
10 2
10 16
10 37
Scenario #48:
1 11
1 27
2 2
2 9
2 12
2 15
2 17
2 41
3 7
3 14
3 28
4 10
4 38
5 0
5 8
5 33
6 1
6 13
6 21
6 24
6 25
6 26
7 20
7 29
7 40
8 3
8 19
8 23
8 30
8 35
8 36
9 4
9 16
9 18
9 32
9 34
9 37
9 39
10 5
10 6
10 22
10 31
Scenario #49:
1 14
1 16
1 17
1 21
2 3
2 8
2 10
2 11
2 13
3 18
4 25
4 28
5 1
6 7
6 20
6 27
7 0
7 23
7 24
8 2
8 12
9 5
9 6
9 26
10 4
10 9
10 15
10 19
10 22
11 29
11 30
Scenario #50:
1 1
1 4
1 5
1 10
2 3
2 6
2 7
2 8
3 0
4 2
4 9
Scenario #51:
1 1
1 8
1 9
2 2
2 6
2 12
2 14
2 16
3 0
3 4
3 10
3 13
4 7
4 17
4 18
5 5
5 11
5 15
6 3
Scenario #52:
1 4
1 10
2 2
2 3
2 15
2 16
3 1
3 5
3 9
3 11
4 13
4 14
5 0
5 7
5 8
5 12
6 6
Scenario #53:
1 8
1 9
1 22
2 13
2 14
2 26
2 33
2 36
2 37
2 38
3 1
3 12
3 17
3 25
4 2
4 7
4 19
4 29
4 32
5 6
5 20
6 4
6 31
6 39
7 5
7 16
8 0
8 18
8 23
8 34
9 3
9 11
9 24
9 27
9 35
10 28
10 30
10 40
11 21
12 10
13 15
Scenario #54:
1 9
1 21
1 25
1 28
2 4
2 18
2 23
3 19
3 32
3 41
4 7
4 8
4 31
4 40
5 0
5 16
5 17
5 24
5 26
5 35
5 36
6 1
6 15
6 20
6 33
6 39
7 3
7 6
7 29
7 37
7 42
8 2
8 5
8 11
8 12
8 14
8 22
8 30
8 34
8 38
9 10
9 13
9 27
10 43
Scenario #55:
1 9
1 15
1 28
2 3
2 6
2 8
2 17
2 18
2 19
3 2
3 10
3 16
3 23
3 24
3 30
4 4
4 5
4 11
4 12
5 13
5 25
5 26
6 1
6 7
6 14
6 29
7 0
7 20
7 22
8 21
8 27
8 31
Scenario #56:
1 8
1 13
2 3
2 11
2 15
3 5
3 9
3 10
4 0
4 1
4 2
4 6
5 4
5 14
6 7
6 12
Scenario #57:
1 6
1 20
1 27
1 29
2 5
2 7
2 14
2 21
2 24
3 10
3 17
3 22
3 32
3 33
4 11
4 26
4 31
5 1
5 2
5 3
5 8
5 9
5 25
6 4
6 15
6 16
6 18
7 0
7 30
8 12
8 28
9 13
9 19
9 23
Scenario #58:
1 16
1 17
1 22
1 30
2 6
2 15
2 24
2 26
3 0
3 4
3 7
3 9
3 18
3 28
3 32
4 3
4 5
4 10
5 2
5 12
5 25
5 29
6 1
6 21
6 27
7 8
7 11
7 13
7 23
8 19
8 20
8 31
9 14
Scenario #59:
1 5
1 8
1 18
1 36
2 1
2 3
2 34
2 38
3 10
3 14
3 17
3 19
3 22
3 24
3 26
3 28
4 27
4 35
4 37
4 42
5 0
5 16
5 20
5 21
5 31
5 39
5 41
6 2
6 6
6 11
6 13
6 15
6 40
6 43
7 7
7 9
7 25
7 30
7 32
8 4
8 12
8 23
8 29
9 33
Scenario #60:
1 0
1 19
2 7
2 8
2 17
2 18
3 5
3 12
3 14
3 15
4 3
4 10
4 11
4 16
4 20
5 1
5 9
6 2
6 6
7 4
7 13
Scenario #61:
1 20
1 23
2 22
2 31
3 1
3 32
4 19
5 29
6 6
6 12
6 18
6 27
7 4
7 5
7 8
7 9
7 15
7 30
8 0
8 2
8 3
8 10
8 25
9 14
9 16
9 26
9 28
10 11
10 24
11 7
11 13
12 17
12 21
Scenario #62:
1 0
1 1
1 4
2 2
2 5
2 6
3 3
Scenario #63:
1 1
1 2
1 5
1 6
2 3
2 4
3 0
Scenario #64:
1 0
1 1
1 6
1 7
2 3
2 9
2 15
3 8
3 11
3 12
4 4
4 5
4 10
4 14
5 13
6 2
6 16
Scenario #65:
1 6
1 8
1 11
1 12
2 13
2 15
2 22
3 7
3 21
4 1
4 2
4 3
4 5
4 14
5 0
5 4
5 9
5 10
5 16
6 17
6 18
6 19
6 20
Scenario #66:
1 0
1 3
2 1
2 6
2 7
2 10
3 2
3 4
3 5
3 8
3 9
4 11
Scenario #67:
1 6
1 17
1 24
1 30
2 0
2 1
2 16
2 20
3 3
3 4
3 5
3 19
4 2
4 7
4 8
4 25
4 27
5 14
5 21
5 29
5 33
6 12
6 13
6 18
6 23
7 11
7 15
7 26
7 28
7 34
8 9
8 10
8 22
8 31
9 32
Scenario #68:
1 0
1 16
2 6
2 8
2 27
3 4
3 22
3 32
3 36
4 13
4 38
4 40
5 5
5 9
5 18
5 23
5 28
6 3
6 11
6 29
6 30
6 39
7 1
7 10
7 12
7 19
7 33
7 37
8 7
8 15
8 31
8 34
8 41
8 42
9 2
9 14
9 26
10 20
10 25
10 35
11 17
12 21
12 24
Scenario #69:
1 1
1 4
1 6
2 0
2 2
2 13
2 19
3 9
3 12
4 10
4 14
4 15
4 18
5 11
5 16
5 17
6 3
6 5
7 7
7 8
Scenario #70:
1 5
1 6
1 9
1 10
2 1
2 3
2 8
3 0
3 4
3 7
4 2
Scenario #71:
1 12
1 14
2 11
2 15
2 17
2 20
3 0
3 1
3 2
3 4
3 16
4 18
4 22
5 3
5 5
5 6
5 7
6 8
6 9
6 10
6 19
6 21
7 13
Scenario #72:
1 13
1 34
1 35
2 6
2 12
2 31
3 2
3 9
3 16
3 23
3 25
4 8
4 21
4 33
5 0
5 1
5 20
5 26
6 3
6 14
6 19
6 30
7 22
7 28
7 32
8 7
8 11
8 15
8 17
8 24
9 4
9 18
9 27
9 29
10 5
10 10
Scenario #73:
1 0
1 2
1 14
1 20
2 9
2 12
2 13
3 4
3 17
3 19
4 5
4 7
4 15
4 16
5 1
5 6
5 8
6 10
6 11
6 18
7 3
Scenario #74:
1 2
1 44
2 11
2 14
2 25
3 15
3 41
3 45
4 1
4 26
4 31
4 39
5 3
5 10
5 20
5 46
6 6
6 18
6 30
6 37
7 23
7 24
7 36
7 42
8 8
8 12
8 27
9 0
9 28
10 4
10 9
10 38
11 29
11 33
11 35
12 5
12 7
12 32
13 13
13 16
13 17
13 21
13 22
13 43
14 19
14 34
15 40
Scenario #75:
1 2
1 3
1 4
2 0
2 1
Scenario #76:
1 12
1 33
2 3
2 11
3 8
3 13
4 24
4 32
5 7
5 31
6 2
6 14
6 17
6 20
6 36
7 6
7 18
7 21
7 22
7 34
8 0
8 1
8 5
8 9
8 23
8 25
8 26
8 29
9 4
9 10
9 19
9 27
9 35
10 15
10 16
10 28
10 30
Scenario #77:
1 0
1 1
1 5
2 2
2 4
2 6
3 3
Scenario #78:
1 10
1 12
2 0
2 1
2 19
3 11
3 18
3 25
3 31
3 37
4 4
4 5
4 20
4 28
4 29
4 39
5 7
5 15
5 16
5 23
6 13
6 22
6 30
6 34
7 9
7 17
7 33
7 35
7 38
7 41
8 24
8 26
8 27
8 36
9 2
9 3
9 14
9 21
10 6
10 8
10 32
11 40
Scenario #79:
1 0
1 7
1 20
2 11
2 15
2 17
2 24
2 30
2 32
3 4
3 5
3 9
3 28
4 8
4 14
4 21
4 27
4 31
5 18
5 19
5 23
5 25
6 1
6 16
6 22
6 29
7 2
7 12
8 10
8 26
9 3
9 6
9 13
Scenario #80:
1 9
1 10
1 16
1 18
2 5
2 6
2 8
2 17
2 19
3 1
3 2
4 4
5 7
5 11
5 12
5 13
6 0
6 3
6 14
6 15
Scenario #81:
1 4
1 25
1 29
1 32
2 12
2 14
2 21
2 35
3 1
3 13
3 15
3 17
3 23
3 36
3 44
4 6
4 11
4 16
4 19
4 34
4 41
5 22
5 24
5 37
5 42
6 5
6 7
6 20
6 27
6 28
6 33
7 2
7 8
7 10
7 38
7 39
7 46
8 0
8 3
8 9
8 18
8 31
8 45
9 26
9 30
9 40
9 43
Scenario #82:
1 1
1 18
1 38
2 5
2 6
2 10
2 22
3 9
3 14
3 16
4 21
4 33
4 37
5 2
5 3
5 17
6 19
6 30
6 31
6 32
7 4
7 11
7 26
7 35
7 36
8 0
8 12
8 15
8 20
8 23
8 28
9 24
9 27
9 34
9 39
10 13
11 7
11 8
12 25
12 29
Scenario #83:
1 18
1 21
1 33
2 2
2 4
2 8
2 9
2 25
2 29
2 41
3 39
4 10
4 23
4 37
5 0
5 7
5 24
6 5
6 12
6 19
6 32
6 40
7 11
7 14
7 16
7 35
8 26
8 27
8 28
8 30
8 34
8 36
8 38
9 1
9 3
9 6
9 15
9 17
9 22
10 13
10 31
11 20
Scenario #84:
1 2
1 16
1 23
1 25
2 4
2 15
2 22
2 30
2 33
3 5
3 11
3 38
3 41
4 6
4 9
4 17
4 32
4 42
5 1
5 7
5 13
5 14
5 21
5 35
6 0
6 29
6 37
7 8
7 18
7 24
7 31
8 3
8 19
8 28
8 36
8 40
9 20
9 27
9 34
10 10
10 26
10 39
11 12
Scenario #85:
1 3
1 5
1 11
1 15
2 1
2 9
2 10
2 14
3 0
3 7
3 8
4 2
4 4
4 13
5 6
5 12
Scenario #86:
1 14
1 19
1 39
2 9
2 10
2 22
2 34
3 35
3 36
3 45
3 46
4 32
5 0
5 21
5 41
5 43
6 15
6 26
6 31
6 40
7 4
7 16
7 17
7 27
7 42
8 1
8 3
8 8
8 23
8 29
8 33
8 38
9 18
9 24
10 7
10 11
10 12
10 20
11 25
11 28
11 30
12 2
12 6
12 13
13 5
13 37
13 44
Scenario #87:
1 1
1 24
1 31
1 39
2 15
2 20
2 33
2 40
3 2
3 3
3 26
3 27
3 43
4 8
4 19
4 21
5 35
5 41
6 6
6 11
6 14
7 12
7 13
7 18
7 28
7 30
8 0
8 17
8 25
8 29
8 36
8 38
8 44
9 4
9 5
9 7
9 23
9 32
9 34
10 9
10 10
10 37
10 42
11 16
11 22
Scenario #88:
1 3
1 27
1 34
2 11
2 15
2 20
2 28
3 1
3 2
3 7
3 12
3 42
4 8
4 36
5 17
5 19
5 22
5 32
6 9
6 13
6 29
6 37
7 0
7 10
7 18
7 40
8 21
8 39
8 41
9 5
9 6
9 14
9 23
9 26
10 24
10 30
10 31
11 4
11 35
11 38
12 16
12 25
13 43
13 44
14 33
Scenario #89:
1 4
1 8
1 11
1 13
2 2
2 6
2 7
2 10
3 5
3 17
3 19
4 0
4 3
4 15
4 18
5 1
5 9
5 14
5 16
6 12
Scenario #90:
1 30
1 43
2 4
2 7
2 16
2 17
3 13
3 20
4 21
4 26
5 9
5 41
6 19
6 22
6 25
7 11
7 37
8 14
8 32
8 33
8 38
9 3
9 10
9 18
10 12
11 2
11 6
11 23
11 36
11 40
12 0
12 8
12 15
12 27
12 28
12 29
12 31
13 24
13 34
13 35
13 42
14 39
15 1
15 5
Scenario #91:
1 16
1 25
1 32
2 12
2 24
2 37
3 7
3 14
3 40
3 43
4 0
4 10
4 18
4 29
5 5
5 21
5 22
5 42
6 2
6 4
6 6
6 9
6 20
6 27
6 30
6 31
6 39
6 41
7 1
7 33
7 34
7 35
7 36
8 13
8 19
8 23
8 26
8 28
9 3
9 11
9 15
9 17
10 8
10 38
Scenario #92:
1 0
1 1
2 4
2 6
2 8
2 12
3 3
3 13
3 17
3 20
3 21
4 7
4 15
4 19
5 9
5 18
6 2
6 14
7 5
7 10
7 16
8 11
Scenario #93:
1 0
1 1
1 6
2 3
2 4
2 5
2 7
3 2
Scenario #94:
1 14
1 15
2 2
2 22
3 10
3 16
3 17
4 4
4 18
4 21
5 0
5 8
5 9
5 11
6 6
6 20
6 24
7 5
7 7
7 23
8 1
8 12
8 19
9 3
9 13
Scenario #95:
1 10
1 13
1 19
2 1
2 5
2 9
3 2
3 4
3 8
3 18
4 0
4 3
4 6
4 7
5 16
6 11
6 14
7 12
7 15
7 17
Scenario #96:
1 2
1 8
1 11
2 0
2 6
2 7
2 19
2 23
3 3
3 5
3 21
3 24
4 4
4 12
4 15
4 18
4 20
5 9
5 14
5 16
5 17
5 22
6 1
6 10
7 13
Scenario #97:
1 0
1 4
1 5
2 1
2 2
2 3
Scenario #98:
1 6
1 18
1 19
1 33
2 8
2 16
2 27
2 34
2 38
3 1
3 31
4 30
4 41
4 44
5 13
5 15
5 45
6 9
6 22
6 25
6 36
7 10
7 11
7 35
7 43
8 12
8 17
8 26
8 37
8 39
9 0
9 4
9 5
9 14
9 21
9 28
10 7
10 23
10 24
11 2
11 3
11 20
11 32
11 42
12 29
12 40
Scenario #99:
1 3
1 4
1 6
1 18
2 7
2 11
2 16
3 9
3 12
3 13
3 17
4 0
4 14
4 15
5 2
5 5
5 10
6 1
6 8
Scenario #100:
1 10
1 16
1 22
2 25
2 26
3 3
3 5
3 9
4 2
4 8
4 13
4 21
4 28
5 14
5 18
6 7
6 15
7 11
7 19
7 24
8 0
8 27
9 1
9 4
9 17
10 6
10 20
10 23
11 12
Scenario #101:
1 12
1 26
1 35
1 36
2 6
2 7
2 13
2 20
2 22
3 2
3 8
3 25
3 32
4 1
4 16
5 18
5 30
5 31
6 4
6 9
6 28
6 33
7 5
7 11
7 27
7 29
7 34
8 3
8 19
8 21
8 23
9 0
9 10
9 24
10 14
10 15
11 17
Scenario #102:
1 16
1 17
1 20
2 4
2 13
2 14
2 28
3 1
3 7
3 10
3 12
3 27
4 5
4 8
4 25
5 6
6 3
6 15
7 0
7 2
7 22
8 9
8 18
8 21
8 23
8 29
9 11
9 19
9 24
10 26
Scenario #103:
1 7
1 16
1 18
1 21
2 3
2 10
2 15
3 0
3 2
3 5
3 17
4 6
4 13
4 19
5 1
5 4
5 9
5 14
6 11
6 12
7 8
7 20
Scenario #104:
1 0
1 13
1 17
2 12
2 30
3 6
3 18
3 19
3 28
4 10
4 16
4 20
4 21
5 4
5 5
5 11
6 9
6 22
7 1
7 2
7 8
7 25
8 7
8 15
8 23
8 26
9 14
9 24
9 27
9 29
10 3
Scenario #105:
1 15
1 16
1 20
2 1
2 2
2 4
2 6
2 11
2 19
2 21
3 5
3 9
4 0
4 8
4 17
5 3
5 7
5 12
5 18
6 13
6 14
7 10
Scenario #106:
1 5
1 8
1 9
1 10
2 3
2 7
3 0
3 2
3 4
3 11
4 1
5 6
Scenario #107:
1 17
1 27
2 2
2 6
2 24
2 29
3 4
3 14
3 26
3 30
4 5
4 12
4 20
4 21
4 25
5 9
5 10
5 13
5 32
5 33
6 0
6 15
6 19
7 7
7 8
7 11
8 16
8 18
8 34
9 3
9 22
9 28
9 31
10 1
10 23
Scenario #108:
1 14
1 43
2 23
2 32
2 34
2 35
2 36
3 18
3 19
3 29
3 44
3 47
4 16
4 17
4 24
5 1
5 22
5 31
5 40
6 0
6 10
6 26
7 2
7 5
7 6
7 11
7 20
7 42
8 3
8 7
8 8
8 30
9 9
9 13
9 15
9 28
10 4
10 37
10 38
10 46
11 27
11 41
11 48
12 12
12 21
12 33
12 45
12 49
13 25
14 39
Scenario #109:
1 4
1 12
2 2
2 7
2 9
2 15
3 1
3 14
3 16
4 8
4 13
5 0
5 3
5 6
6 5
6 10
7 11
Scenario #110:
1 6
1 17
1 41
2 24
2 30
2 36
3 7
3 10
4 33
4 43
5 0
5 4
5 23
5 31
6 1
6 5
6 18
6 25
6 28
6 35
6 37
6 45
7 8
7 20
7 21
7 22
7 26
7 42
7 44
8 2
8 11
8 14
8 27
8 34
8 39
8 46
9 3
9 9
9 12
9 13
10 15
10 16
10 29
10 40
11 19
11 32
11 38
Scenario #111:
1 7
1 30
2 4
2 16
2 19
2 24
2 29
2 44
3 3
3 20
3 46
4 9
4 12
4 17
4 23
4 32
4 47
5 5
5 25
5 45
6 10
6 14
6 37
7 35
7 42
8 0
8 1
8 8
8 11
8 26
9 15
9 18
9 34
9 36
9 39
9 41
9 43
10 21
10 22
10 28
10 31
10 33
10 38
11 2
11 6
11 27
11 40
12 13
Scenario #112:
1 5
1 7
2 12
2 13
2 14
2 15
2 19
3 11
3 18
3 28
4 3
5 0
5 9
5 21
5 23
6 2
6 4
6 17
6 24
6 27
7 1
7 6
7 8
7 16
8 10
8 20
8 26
9 22
10 25
Scenario #113:
1 0
1 1
1 3
1 4
2 2
Scenario #114:
1 0
1 1
1 2
1 3
2 4
Scenario #115:
1 4
1 5
1 29
1 31
2 0
2 3
2 11
2 13
2 15
2 28
3 6
3 10
3 17
3 27
4 1
4 21
4 24
4 25
4 30
5 9
5 20
5 23
5 26
6 7
6 8
6 12
7 2
7 16
7 18
8 19
8 22
9 14
Scenario #116:
1 11
1 12
1 15
2 1
2 10
3 2
3 3
3 9
4 0
4 7
4 8
4 13
5 5
5 6
5 14
6 4
Scenario #117:
1 1
1 6
1 8
2 3
2 4
2 9
2 11
2 13
2 16
2 17
3 5
3 12
4 2
4 15
5 0
5 10
6 14
7 7
Scenario #118:
1 16
1 39
2 1
2 13
2 14
2 21
2 24
2 32
2 36
3 0
3 6
3 17
3 26
3 27
3 31
3 44
4 18
4 38
4 42
4 43
5 12
6 4
6 34
7 8
7 11
7 41
8 5
8 15
8 25
9 9
9 19
9 35
9 37
10 3
10 10
10 20
10 30
10 40
11 23
11 28
